mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
21.0,6,155.0,107.0,2472,14.0,73,1,21.0,8.927165985107422
19.2,8,305.0,145.0,3425,13.2,78,1,19.200000762939453,7.758144378662109
16.0,8,318.0,150.0,4498,14.5,75,1,16.0,35.25727462768555
29.0,4,98.0,83.0,2219,16.5,74,2,29.0,15.583187103271484
26.8,6,173.0,115.0,2700,12.9,79,1,26.799999237060547,10.504497528076172
27.0,4,97.0,60.0,1834,19.0,71,2,27.0,12.240047454833984
18.0,4,121.0,112.0,2933,14.5,72,2,18.0,24.787242889404297
10.0,8,360.0,215.0,4615,14.0,70,1,10.0,15.689403533935547
23.0,4,120.0,97.0,2506,14.5,72,3,23.0,17.004207611083984
36.0,4,120.0,88.0,2160,14.5,82,3,36.0,8.973003387451172
26.0,4,116.0,75.0,2246,14.0,74,2,26.0,16.971111297607422
25.0,4,121.0,115.0,2671,13.5,75,2,25.0,16.246623992919922
25.0,4,104.0,95.0,2375,17.5,70,2,25.0,16.24087142944336
25.0,4,90.0,71.0,2223,16.5,75,2,25.0,19.919689178466797
22.0,4,140.0,72.0,2408,19.0,71,1,22.0,21.07711410522461
34.1,4,86.0,65.0,1975,15.2,79,3,34.099998474121094,14.231693267822266
32.4,4,107.0,72.0,2290,17.0,80,3,32.400001525878906,18.875728607177734
13.0,8,400.0,190.0,4422,12.5,72,1,13.0,13.787578582763672
23.5,6,173.0,110.0,2725,12.6,81,1,23.5,12.466381072998047
14.0,8,400.0,175.0,4464,11.5,71,1,14.0,19.521099090576172
18.5,8,360.0,150.0,3940,13.0,79,1,18.5,15.325145721435547
29.8,4,134.0,90.0,2711,15.5,80,3,29.799999237060547,22.637554168701172
28.0,4,140.0,90.0,2264,15.5,71,1,28.0,11.596004486083984
19.0,6,225.0,95.0,3264,16.0,75,1,19.0,27.826152801513672
11.0,8,350.0,180.0,3664,11.0,73,1,11.0,0.22207266092300415
33.0,4,91.0,53.0,1795,17.5,75,3,33.0,12.84573745727539
23.0,4,140.0,83.0,2639,17.0,75,1,23.0,23.720867156982422
21.0,4,120.0,87.0,2979,19.5,72,2,21.0,33.76981735229492
23.0,6,198.0,95.0,2904,16.0,73,1,23.0,20.55947494506836
25.0,4,113.0,95.0,2228,14.0,71,3,25.0,10.620738983154297
23.8,4,151.0,85.0,2855,17.6,78,1,23.799999237060547,27.788646697998047
34.4,4,98.0,65.0,2045,16.2,81,1,34.400001525878906,15.829158782958984
24.5,4,98.0,60.0,2164,22.1,76,1,24.5,21.344844818115234
13.0,8,307.0,130.0,4098,14.0,72,1,13.0,31.453502655029297
34.7,4,105.0,63.0,2215,14.9,81,1,34.70000076293945,20.464290618896484
14.0,8,304.0,150.0,4257,15.5,74,1,14.0,30.001827239990234
15.0,8,429.0,198.0,4341,10.0,70,1,15.0,6.580257415771484
18.0,6,258.0,110.0,2962,13.5,71,1,18.0,12.224559783935547
25.0,6,181.0,110.0,2945,16.4,82,1,25.0,17.83211898803711
19.9,8,260.0,110.0,3365,15.5,78,1,19.899999618530273,20.82509994506836
17.5,6,250.0,110.0,3520,16.4,77,1,17.5,27.915218353271484
28.0,4,112.0,88.0,2605,19.6,82,1,28.0,23.205120086669922
29.0,4,90.0,70.0,1937,14.0,75,2,29.0,12.194759368896484
17.0,8,305.0,130.0,3840,15.4,79,1,17.0,23.73501205444336
16.0,8,304.0,150.0,3433,12.0,70,1,16.0,6.1824846267700195
27.0,4,97.0,88.0,2130,14.5,70,3,27.0,22.960819244384766
37.0,4,91.0,68.0,2025,18.2,82,3,37.0,24.591129302978516
36.1,4,91.0,60.0,1800,16.4,78,3,36.099998474121094,20.629108428955078
23.0,4,115.0,95.0,2694,15.0,75,2,23.0,31.744678497314453
14.0,8,400.0,175.0,4385,12.0,72,1,14.0,6.1888322830200195
32.8,4,78.0,52.0,1985,19.4,78,3,32.79999923706055,27.399600982666016
29.9,4,98.0,65.0,2380,20.7,81,1,29.899999618530273,30.682239532470703
20.0,4,97.0,88.0,2279,19.0,73,3,20.0,25.260578155517578
12.0,8,429.0,198.0,4952,11.5,73,1,12.0,10.71886157989502
15.5,8,400.0,190.0,4325,12.2,77,1,15.5,3.4333999156951904
23.7,3,70.0,100.0,2420,12.5,80,3,23.700000762939453,34.76637649536133
24.0,4,116.0,75.0,2158,15.5,73,2,24.0,21.618885040283203
36.0,4,79.0,58.0,1825,18.6,77,2,36.0,22.922107696533203
19.0,6,156.0,108.0,2930,15.5,76,3,19.0,27.968311309814453
38.0,4,105.0,63.0,2125,14.7,82,1,38.0,25.849262237548828
29.0,4,135.0,84.0,2525,16.0,82,1,29.0,25.979145050048828
21.5,6,231.0,115.0,3245,15.4,79,1,21.5,20.047534942626953
27.9,4,156.0,105.0,2800,14.4,80,1,27.899999618530273,25.700672149658203
14.0,8,318.0,150.0,4077,14.0,72,1,14.0,17.641895294189453
36.1,4,98.0,66.0,1800,14.4,78,1,36.099998474121094,19.082950592041016
22.0,4,108.0,94.0,2379,16.5,73,3,22.0,25.417133331298828
18.0,6,199.0,97.0,2774,15.5,70,1,18.0,16.788501739501953
17.0,8,304.0,150.0,3672,11.5,72,1,17.0,11.98302173614502
18.0,6,250.0,105.0,3459,16.0,75,1,18.0,21.837909698486328
14.0,8,440.0,215.0,4312,8.5,70,1,14.0,-7.4701642990112305
26.0,4,97.0,46.0,1835,20.5,70,2,26.0,19.78067398071289
13.0,8,350.0,150.0,4699,14.5,74,1,13.0,25.606800079345703
33.0,4,105.0,74.0,2190,14.2,81,2,33.0,25.965717315673828
37.0,4,85.0,65.0,1975,19.4,81,3,37.0,24.50534439086914
32.0,4,71.0,65.0,1836,21.0,74,3,32.0,22.718204498291016
28.0,4,107.0,86.0,2464,15.5,76,2,28.0,29.212329864501953
19.2,8,267.0,125.0,3605,15.0,79,1,19.200000762939453,20.563251495361328
32.0,4,91.0,67.0,1965,15.7,82,3,32.0,24.15713882446289
27.4,4,121.0,80.0,2670,15.0,79,1,27.399999618530273,32.43144607543945
20.0,4,140.0,90.0,2408,19.5,72,1,20.0,19.286273956298828
26.0,4,96.0,69.0,2189,18.0,72,2,26.0,26.040119171142578
20.6,6,225.0,110.0,3360,16.6,79,1,20.600000381469727,24.068988800048828
37.3,4,91.0,69.0,2130,14.7,79,2,37.29999923706055,27.557880401611328
16.2,6,163.0,133.0,3410,15.8,78,2,16.200000762939453,34.35771560668945
15.0,8,350.0,145.0,4440,14.0,75,1,15.0,20.676074981689453
21.0,4,140.0,72.0,2401,19.5,73,1,21.0,21.570331573486328
21.0,6,200.0,85.0,2587,16.0,70,1,21.0,13.75841236114502
20.5,6,200.0,95.0,3155,18.2,78,1,20.5,25.567615509033203
21.0,6,199.0,90.0,2648,15.0,70,1,21.0,15.00224781036377
25.4,6,168.0,116.0,2900,12.6,81,3,25.399999618530273,25.461994171142578
34.1,4,91.0,68.0,1985,16.0,81,3,34.099998474121094,24.265003204345703
27.0,4,151.0,90.0,2950,17.3,82,1,27.0,31.310810089111328
36.0,4,98.0,70.0,2125,17.3,82,1,36.0,25.472187042236328
31.6,4,120.0,74.0,2635,18.3,81,3,31.600000381469727,31.856311798095703
38.1,4,89.0,60.0,1968,18.8,80,3,38.099998474121094,24.290668487548828
32.0,4,83.0,61.0,2003,19.0,74,3,32.0,25.327472686767578
40.8,4,85.0,65.0,2110,19.2,80,3,40.79999923706055,27.500049591064453
19.0,6,232.0,90.0,3211,17.0,75,1,19.0,21.324115753173828
20.0,4,114.0,91.0,2582,14.0,73,2,20.0,29.999683380126953
22.0,6,250.0,105.0,3353,14.5,76,1,22.0,20.037891387939453
17.5,6,258.0,95.0,3193,17.8,76,1,17.5,15.12102222442627
35.1,4,81.0,60.0,1760,16.1,81,3,35.099998474121094,22.109683990478516
30.5,4,98.0,63.0,2051,17.0,77,1,30.5,24.198383331298828
33.7,4,107.0,75.0,2210,14.4,81,3,33.70000076293945,25.867298126220703
19.0,6,250.0,88.0,3302,15.5,71,1,19.0,20.161609649658203
14.0,8,302.0,140.0,4638,16.0,74,1,14.0,34.30485916137695
15.5,8,351.0,142.0,4054,14.3,79,1,15.5,12.530659675598145
15.0,6,250.0,72.0,3158,19.5,75,1,15.0,18.181995391845703
22.5,6,232.0,90.0,3085,17.6,76,1,22.5,18.405811309814453
29.0,4,85.0,52.0,2035,22.2,76,1,29.0,25.994953155517578
23.0,4,97.0,54.0,2254,23.5,72,2,23.0,27.506793975830078
18.0,3,70.0,90.0,2124,13.5,73,3,18.0,28.209705352783203
25.5,4,122.0,96.0,2300,15.5,77,1,25.5,21.413196563720703
24.0,4,119.0,97.0,2545,17.0,75,3,24.0,26.740528106689453
14.0,8,454.0,220.0,4354,9.0,70,1,14.0,-10.02637767791748
16.5,8,351.0,138.0,3955,13.2,79,1,16.5,11.157979011535645
20.3,5,131.0,103.0,2830,15.9,78,2,20.299999237060547,31.017627716064453
26.0,4,108.0,93.0,2391,15.5,74,3,26.0,26.254474639892578
15.0,8,383.0,170.0,3563,10.0,70,1,15.0,-8.069682121276855
33.8,4,97.0,67.0,2145,18.0,80,3,33.79999923706055,26.098087310791016
11.0,8,400.0,150.0,4997,14.0,73,1,11.0,22.731861114501953
28.0,4,97.0,92.0,2288,17.0,72,3,28.0,25.462635040283203
19.0,6,225.0,100.0,3630,17.7,77,1,19.0,30.872791290283203
30.0,4,97.0,67.0,1985,16.4,77,3,30.0,22.62955093383789
27.2,4,141.0,71.0,3190,24.8,79,2,27.200000762939453,0.2347683161497116
16.5,6,168.0,120.0,3820,16.7,76,2,16.5,-0.22854755818843842
29.0,4,97.0,75.0,2171,16.0,75,3,29.0,0.2347683161497116
20.0,8,262.0,110.0,3221,13.5,75,1,20.0,0.2347683161497116
15.0,8,318.0,150.0,3777,12.5,73,1,15.0,-0.9099109768867493
17.5,8,318.0,140.0,4080,13.7,78,1,17.5,0.2347683161497116
18.0,6,225.0,95.0,3785,19.0,75,1,18.0,-0.1086512953042984
24.0,4,90.0,75.0,2108,15.5,74,2,24.0,0.2347683161497116
20.2,6,232.0,90.0,3265,18.2,79,1,20.200000762939453,0.2347683161497116
13.0,8,351.0,158.0,4363,13.0,73,1,13.0,-0.43428313732147217
12.0,8,350.0,160.0,4456,13.5,72,1,12.0,-0.24204905331134796
20.0,6,156.0,122.0,2807,13.5,73,3,20.0,0.2347683161497116
13.0,8,360.0,175.0,3821,11.0,73,1,13.0,-2.9896461963653564
26.0,4,97.0,78.0,2300,14.5,74,2,26.0,0.2347683161497116
34.5,4,105.0,70.0,2150,14.9,79,1,34.5,0.2347683161497116
18.0,6,225.0,105.0,3121,16.5,73,1,18.0,0.2347683161497116
18.5,6,250.0,98.0,3525,19.0,77,1,18.5,0.2347683161497116
13.0,8,350.0,155.0,4502,13.5,72,1,13.0,0.10235084593296051
26.0,4,121.0,113.0,2234,12.5,70,2,26.0,0.2347683161497116
18.0,6,232.0,100.0,3288,15.5,71,1,18.0,0.2347683161497116
31.0,4,76.0,52.0,1649,16.5,74,3,31.0,0.2347683161497116
24.0,4,121.0,110.0,2660,14.0,73,2,24.0,0.2347683161497116
11.0,8,429.0,208.0,4633,11.0,72,1,11.0,-3.922001838684082
19.4,8,318.0,140.0,3735,13.2,78,1,19.399999618530273,-0.3994312882423401
32.9,4,119.0,100.0,2615,14.8,81,3,32.900001525878906,0.2347683161497116
31.5,4,89.0,71.0,1990,14.9,78,2,31.5,0.2347683161497116
19.1,6,225.0,90.0,3381,18.7,80,1,19.100000381469727,0.2347683161497116
24.0,6,200.0,81.0,3012,17.6,76,1,24.0,0.2347683161497116
20.0,6,198.0,95.0,3102,16.5,74,1,20.0,0.2347683161497116
28.0,4,90.0,75.0,2125,14.5,74,1,28.0,0.2347683161497116
29.0,4,97.0,78.0,1940,14.5,77,2,29.0,0.2347683161497116
14.0,8,304.0,150.0,3672,11.5,73,1,14.0,-0.9289479851722717
35.0,4,122.0,88.0,2500,15.1,80,2,35.0,0.2347683161497116
29.5,4,97.0,71.0,1825,12.2,76,2,29.5,0.2347683161497116
23.6,4,140.0,93.5,2905,14.3,80,1,23.600000381469727,0.2347683161497116
15.5,8,318.0,145.0,4140,13.7,77,1,15.5,0.2347683161497116
20.6,6,231.0,105.0,3380,15.8,78,1,20.600000381469727,0.2347683161497116
34.2,4,105.0,70.0,2200,13.2,79,1,34.20000076293945,0.2347683161497116
25.0,4,116.0,81.0,2220,16.9,76,2,25.0,0.2347683161497116
36.4,5,121.0,67.0,2950,19.9,80,2,36.400001525878906,0.2347683161497116
22.3,4,140.0,88.0,2890,17.3,79,1,22.299999237060547,0.2347683161497116
19.0,4,120.0,88.0,3270,21.9,76,2,19.0,0.2347683161497116
19.8,6,200.0,85.0,2990,18.2,79,1,19.799999237060547,0.2347683161497116
31.0,4,79.0,67.0,1950,19.0,74,3,31.0,0.2347683161497116
14.0,8,350.0,165.0,4209,12.0,71,1,14.0,-1.2550703287124634
14.0,8,340.0,160.0,3609,8.0,70,1,14.0,-2.7081949710845947
43.4,4,90.0,48.0,2335,23.7,80,2,43.400001525878906,0.2347683161497116
26.0,4,98.0,79.0,2255,17.7,76,1,26.0,0.2347683161497116
33.5,4,85.0,70.0,1945,16.8,77,3,33.5,0.2347683161497116
19.0,4,122.0,85.0,2310,18.5,73,1,19.0,0.2347683161497116
22.0,4,121.0,98.0,2945,14.5,75,2,22.0,0.2347683161497116
27.2,4,119.0,97.0,2300,14.7,78,3,27.200000762939453,0.2347683161497116
32.7,6,168.0,132.0,2910,11.4,80,3,32.70000076293945,0.2347683161497116
29.0,4,68.0,49.0,1867,19.5,73,2,29.0,0.2347683161497116
17.6,6,225.0,85.0,3465,16.6,81,1,17.600000381469727,0.2347683161497116
23.0,4,151.0,93.5,3035,20.5,82,1,23.0,0.2347683161497116
34.0,4,108.0,70.0,2245,16.9,82,3,34.0,0.2347683161497116
17.6,8,302.0,129.0,3725,13.4,79,1,17.600000381469727,0.2347683161497116
30.7,6,145.0,76.0,3160,19.6,81,2,30.700000762939453,0.2347683161497116
21.0,6,231.0,110.0,3039,15.0,75,1,21.0,0.2347683161497116
38.0,4,91.0,67.0,1995,16.2,82,3,38.0,0.2347683161497116
16.0,8,302.0,140.0,4141,14.0,74,1,16.0,0.2347683161497116
15.0,6,250.0,72.0,3432,21.0,75,1,15.0,0.2347683161497116
20.0,6,225.0,100.0,3651,17.7,76,1,20.0,0.2347683161497116
29.0,4,90.0,70.0,1937,14.2,76,2,29.0,0.2347683161497116
32.0,4,144.0,96.0,2665,13.9,82,3,32.0,0.2347683161497116
18.0,8,318.0,150.0,3436,11.0,70,1,18.0,-2.008561134338379
32.0,4,85.0,70.0,1990,17.0,76,3,32.0,0.2347683161497116
15.0,8,350.0,145.0,4082,13.0,73,1,15.0,-0.5918460488319397
16.0,8,351.0,149.0,4335,14.5,77,1,16.0,0.09695306420326233
34.0,4,112.0,88.0,2395,18.0,82,1,34.0,0.2347683161497116
10.0,8,307.0,200.0,4376,15.0,70,1,10.0,-1.159166693687439
19.0,4,121.0,112.0,2868,15.5,73,2,19.0,0.2347683161497116
28.4,4,151.0,90.0,2670,16.0,79,1,28.399999618530273,0.2347683161497116
15.0,8,302.0,130.0,4295,14.9,77,1,15.0,0.2347683161497116
32.3,4,97.0,67.0,2065,17.8,81,3,32.29999923706055,0.2347683161497116
30.0,4,98.0,68.0,2155,16.5,78,1,30.0,0.2347683161497116
26.4,4,140.0,88.0,2870,18.1,80,1,26.399999618530273,0.2347683161497116
30.0,4,135.0,84.0,2385,12.9,81,1,30.0,0.2347683161497116
19.0,6,232.0,100.0,2901,16.0,74,1,19.0,0.2347683161497116
13.0,8,302.0,140.0,4294,16.0,72,1,13.0,29.866878509521484
32.2,4,108.0,75.0,2265,15.2,80,3,32.20000076293945,24.521718978881836
27.0,4,97.0,88.0,2130,14.5,71,3,27.0,23.16138458251953
28.0,4,98.0,80.0,2164,15.0,72,1,28.0,24.090410232543945
44.6,4,91.0,67.0,1850,13.8,80,3,44.599998474121094,18.164005279541016
18.0,6,232.0,100.0,2789,15.0,73,1,18.0,9.25919246673584
39.4,4,85.0,70.0,2070,18.6,78,3,39.400001525878906,24.82288932800293
25.1,4,140.0,88.0,2720,15.4,78,1,25.100000381469727,28.311115264892578
16.0,6,250.0,100.0,3781,17.0,74,1,16.0,30.63779640197754
43.1,4,90.0,48.0,1985,21.5,78,2,43.099998474121094,22.718000411987305
25.0,4,140.0,92.0,2572,14.9,76,1,25.0,24.388349533081055
16.9,8,350.0,155.0,4360,14.9,79,1,16.899999618530273,19.76358413696289
13.0,8,400.0,175.0,5140,12.0,71,1,13.0,28.12578582763672
20.2,6,200.0,88.0,3060,17.1,81,1,20.200000762939453,23.470806121826172
14.0,8,351.0,153.0,4129,13.0,72,1,14.0,14.200236320495605
37.0,4,119.0,92.0,2434,15.0,80,3,37.0,25.38616371154785
13.0,8,350.0,175.0,4100,13.0,73,1,13.0,12.234894752502441
21.5,4,121.0,110.0,2600,12.8,77,2,21.5,28.262413024902344
27.0,4,101.0,83.0,2202,15.3,76,2,27.0,24.06784439086914
14.0,8,351.0,148.0,4657,13.5,75,1,14.0,27.891124725341797
15.0,8,400.0,150.0,3761,9.5,70,1,15.0,-0.6956489682197571
17.0,6,250.0,100.0,3329,15.5,71,1,17.0,19.26051902770996
9.0,8,304.0,193.0,4732,18.5,70,1,9.0,37.32487487792969
23.0,4,140.0,78.0,2592,18.5,75,1,23.0,25.669279098510742
26.0,4,79.0,67.0,1963,15.5,74,2,26.0,23.862760543823242
34.3,4,97.0,78.0,2188,15.8,80,2,34.29999923706055,24.6644287109375
23.2,4,156.0,105.0,2745,16.7,78,1,23.200000762939453,24.310443878173828
17.5,8,305.0,145.0,3880,12.5,77,1,17.5,18.159156799316406
12.0,8,455.0,225.0,4951,11.0,73,1,12.0,7.99415397644043
30.0,4,79.0,70.0,2074,19.5,71,2,30.0,26.496902465820312
30.5,4,97.0,78.0,2190,14.1,77,2,30.5,24.95526885986328
25.4,5,183.0,77.0,3530,20.1,79,2,25.399999618530273,40.09001159667969
44.3,4,90.0,48.0,2085,21.7,80,2,44.29999923706055,25.170026779174805
23.0,4,120.0,88.0,2957,17.0,75,2,23.0,38.946434020996094
14.0,8,318.0,150.0,4096,13.0,71,1,14.0,20.835222244262695
29.8,4,89.0,62.0,1845,15.3,80,2,29.799999237060547,18.64322853088379
26.5,4,140.0,72.0,2565,13.6,76,1,26.5,25.530029296875
20.2,6,200.0,85.0,2965,15.8,78,1,20.200000762939453,21.440994262695312
38.0,6,262.0,85.0,3015,17.0,82,1,38.0,8.853128433227539
17.0,8,302.0,140.0,3449,10.5,70,1,17.0,8.531145095825195
20.5,6,225.0,100.0,3430,17.2,78,1,20.5,26.886367797851562
32.4,4,108.0,75.0,2350,16.8,81,3,32.400001525878906,26.576377868652344
18.0,6,250.0,88.0,3021,16.5,73,1,18.0,11.954038619995117
20.5,6,231.0,105.0,3425,16.9,77,1,20.5,25.193748474121094
25.8,4,156.0,92.0,2620,14.4,81,1,25.799999237060547,21.867572784423828
13.0,8,350.0,145.0,4055,12.0,76,1,13.0,12.85710620880127
24.0,4,134.0,96.0,2702,13.5,75,3,24.0,29.062084197998047
16.0,6,250.0,100.0,3278,18.0,73,1,16.0,17.72723388671875
13.0,8,318.0,150.0,3755,14.0,76,1,13.0,11.764981269836426
21.0,4,122.0,86.0,2226,16.5,72,1,21.0,19.968719482421875
19.0,6,250.0,100.0,3282,15.0,71,1,19.0,18.07697296142578
25.0,4,98.0,93.5,2046,19.0,71,1,25.0,20.07537841796875
27.5,4,134.0,95.0,2560,14.2,78,3,27.5,25.285869598388672
18.0,6,250.0,78.0,3574,21.0,76,1,18.0,26.41492462158203
34.5,4,100.0,93.5,2320,15.8,81,2,34.5,26.3657169342041
11.0,8,318.0,210.0,4382,13.5,70,1,11.0,24.42778778076172
32.1,4,98.0,70.0,2120,15.5,80,1,32.099998474121094,23.14095115661621
15.5,8,350.0,170.0,4165,11.4,77,1,15.5,14.080903053283691
18.6,6,225.0,110.0,3620,18.7,78,1,18.600000381469727,31.06509017944336
18.2,8,318.0,135.0,3830,15.2,79,1,18.200000762939453,14.420419692993164
15.0,6,258.0,110.0,3730,19.0,75,1,15.0,26.795774459838867
27.2,4,135.0,84.0,2490,15.7,81,1,27.200000762939453,23.579864501953125
14.0,8,318.0,150.0,4457,13.5,74,1,14.0,29.922386169433594
13.0,8,350.0,165.0,4274,12.0,72,1,13.0,17.433666229248047
18.0,6,225.0,105.0,3613,16.5,74,1,18.0,31.516645431518555
15.0,6,250.0,100.0,3336,17.0,74,1,15.0,19.210166931152344
14.0,8,455.0,225.0,4425,10.0,70,1,14.0,-2.6019999980926514
15.0,8,318.0,150.0,4135,13.5,72,1,15.0,21.76006317138672
23.9,8,260.0,90.0,3420,22.2,79,1,23.899999618530273,19.125375747680664
24.0,4,113.0,95.0,2372,15.0,70,3,24.0,25.454317092895508
16.0,8,400.0,170.0,4668,11.5,75,1,16.0,16.130184173583984
14.0,8,351.0,153.0,4154,13.5,71,1,14.0,14.872102737426758
26.6,8,350.0,105.0,3725,19.0,81,1,26.600000381469727,6.309928894042969
46.6,4,86.0,65.0,2110,17.9,80,3,46.599998474121094,25.87200355529785
31.5,4,98.0,68.0,2045,18.5,77,3,31.5,21.512813568115234
29.5,4,98.0,68.0,2135,16.6,78,3,29.5,23.8596134185791
27.0,4,112.0,88.0,2640,18.6,82,1,27.0,32.03683090209961
25.5,4,140.0,89.0,2755,15.8,77,1,25.5,29.18148422241211
20.0,4,130.0,102.0,3150,15.7,76,2,20.0,40.833770751953125
16.5,8,350.0,180.0,4380,12.1,76,1,16.5,18.303909301757812
35.7,4,98.0,80.0,1915,14.4,79,1,35.70000076293945,22.428085327148438
24.2,6,146.0,120.0,2930,13.8,81,3,24.200000762939453,24.992263793945312
20.2,8,302.0,139.0,3570,12.8,78,1,20.200000762939453,18.549362182617188
26.0,4,156.0,92.0,2585,14.5,82,1,26.0,24.150802612304688
22.4,6,231.0,110.0,3415,15.8,81,1,22.399999618530273,24.846847534179688
31.8,4,85.0,65.0,2020,19.2,79,3,31.799999237060547,25.961181640625
30.9,4,105.0,75.0,2230,14.5,78,1,30.899999618530273,24.76812744140625
18.5,6,250.0,110.0,3645,16.2,76,1,18.5,24.518234252929688
16.0,6,250.0,105.0,3897,18.5,75,1,16.0,26.964187622070312
13.0,8,400.0,170.0,4746,12.0,71,1,13.0,18.092025756835938
30.0,4,111.0,80.0,2155,14.8,77,1,30.0,23.199569702148438
14.5,8,351.0,152.0,4215,12.8,76,1,14.5,19.367416381835938
41.5,4,98.0,76.0,2144,14.7,80,2,41.5,24.967056274414062
20.8,6,200.0,85.0,3070,16.7,78,1,20.799999237060547,25.388412475585938
13.0,8,360.0,170.0,4654,13.0,73,1,13.0,20.193771362304688
31.0,4,71.0,65.0,1773,19.0,71,3,31.0,22.95904541015625
15.0,8,350.0,165.0,3693,11.5,70,1,15.0,12.648482322692871
23.0,4,122.0,86.0,2220,14.0,71,1,23.0,21.153656005859375
22.0,4,122.0,86.0,2395,16.0,72,1,22.0,22.977005004882812
28.0,4,97.0,75.0,2155,16.4,76,3,28.0,24.564468383789062
16.0,6,225.0,105.0,3439,15.5,71,1,16.0,23.529312133789062
17.7,6,231.0,165.0,3445,13.4,78,1,17.700000762939453,19.507522583007812
13.0,8,400.0,150.0,4464,12.0,73,1,13.0,17.975723266601562
26.6,4,151.0,84.0,2635,16.4,81,1,26.600000381469727,25.476547241210938
30.0,4,88.0,76.0,2065,14.5,71,2,30.0,22.860763549804688
18.1,8,302.0,139.0,3205,11.2,78,1,18.100000381469727,15.462203025817871
22.0,6,146.0,97.0,2815,14.5,77,3,22.0,25.1895751953125
14.0,8,455.0,225.0,3086,10.0,70,1,14.0,-3.4995884895324707
24.3,4,151.0,90.0,3003,20.1,80,1,24.299999237060547,28.053695678710938
14.0,8,302.0,137.0,4042,14.5,73,1,14.0,21.550888061523438
23.9,4,119.0,97.0,2405,14.9,78,3,23.899999618530273,23.748184204101562
13.0,8,302.0,129.0,3169,12.0,75,1,13.0,15.424147605895996
30.0,4,146.0,67.0,3250,21.8,80,2,30.0,32.54832458496094
36.0,4,135.0,84.0,2370,13.0,82,1,36.0,24.163925170898438
16.0,6,258.0,110.0,3632,18.0,74,1,16.0,23.676925659179688
28.8,6,173.0,115.0,2595,11.3,79,1,28.799999237060547,20.277114868164062
36.0,4,107.0,75.0,2205,14.5,82,3,36.0,25.561325073242188
31.3,4,120.0,75.0,2542,17.5,80,3,31.299999237060547,27.361328125
21.5,3,80.0,110.0,2720,13.5,77,3,21.5,27.074752807617188
35.0,4,72.0,69.0,1613,18.0,71,3,35.0,21.17974853515625
28.0,4,116.0,90.0,2123,14.0,71,2,28.0,20.482376098632812
18.0,6,171.0,97.0,2984,14.5,75,1,18.0,24.454940795898438
15.5,8,304.0,120.0,3962,13.9,76,1,15.5,22.856094360351562
32.0,4,135.0,84.0,2295,11.6,82,1,32.0,23.427032470703125
